성취기준,수준,성취수준
[9수01-08],B,"한 변의 길이가 1인 정사각형의 대각선의 길이 등 유리수가 아닌 예를 통해 무리수의 개념을 이해하고 실수의 수 체계를 설명할 수 있으며, 실생활에서 사용되는 무리수의 예를 통해 무리수의 필요성과 유용성을 설명할 수 있다."
[9수01-08],C,"한 변의 길이가 1인 정사각형의 대각선의 길이 등 유리수가 아닌 예를 통해 무리수의 개념을 이해하고, 실생활에서 사용되는 무리수의 예를 통해 무리수의 필요성을 인식할 수 있다."
[9수01-08],D,"한 변의 길이가 1인 정사각형의 대각선의 길이 등 유리수가 아닌 예를 통해 무리수의 개념을 이해하고, 실생활에서 사용되는 무리수의 예를 통해 무리수의 필요성을 인식할 수 있다."
[9수01-08],E,주어진 수에서 유리수와 무리수를 구분할 수 있다.
[9수01-09],A,실수의 대소 관계를 여러 가지 방법으로 판단하고 그 이유를 설명할 수 있다.
[9수01-09],B,실수의 대소 관계를 여러 가지 방법으로 판단하고 그 이유를 설명할 수 있다.
[9수01-09],C,실수의 대소 관계를 판단하고 그 이유를 말할 수 있다.
[9수01-09],D,실수의 대소 관계를 판단하고 그 이유를 말할 수 있다.
[9수01-09],E,간단한 실수의 대소 관계를 제곱근의 대소 관계를 이용하여 판단할 수 있다.
[9수01-10],A,"근호를 포함한 식의 사칙계산의 원리를 이해하고 설명할 수 있으며, 그 계산을 하며 과정을 설명할 수 있다."
[9수01-10],B,"근호를 포함한 식의 사칙계산의 원리를 이해하고, 그 계산을 하며 과정을 설명할 수 있다."
[9수01-10],C,근호를 포함한 식의 사칙계산의 원리를 알고 그 계산을 할 수 있다.
[9수01-10],D,근호를 포함한 식의 사칙계산의 원리를 알고 근호를 포함한 간단한 식의 사칙계산을 할 수 있다.
[9수01-10],E,제곱근의 곱셈과 나눗셈 또는 근호 안의 수가 같은 제곱근의 덧셈과 뺄셈을 할 수 있다.
