성취기준,수준,성취수준
[6수03-14],C,안내된 절차에 따라 평행사변형 삼각형 사다리꼴 마름모의 넓이를 구할 수 있다.
[6수03-15],A,여러 가지 원 모양 물체의 원주와 지름을 측정하는 활동을 통하여 원주율의 의미를 설명하고 원주율을 근삿값으로 나타내어 사용할 수 있다.
[6수03-15],B,여러 가지 원 모양 물체의 원주와 지름을 측정하는 활동을 통하여 원주율이 일정한 값임을 알고 원주율의 근삿값을 사용할 수 있다.
[6수03-15],C,안내된 절차에 따라 원 모양 물체의 원주와 지름을 측정하는 활동을 통하여 원주율이 일정한 값임을 안다.
[6수03-16],A,원주와 원의 넓이를 구하는 방법을 설명하고 이를 이용하여 원주와 원의 넓이를 구할 수 있다.
[6수03-16],B,원주와 원의 넓이를 구하는 방법을 이해하고 이를 이용하여 원주와 원의 넓이를 구할 수 있다.
[6수03-16],C,안내된 절차에 따라 원주와 원의 넓이를 구할 수 있다.
[6수03-17],A,직육면체와 정육면체의 겉넓이를 구하는 여러 가지 방법을 추론하고 그 추론 과정을 설명하며 이를 이용하여 직육면체와 정육면체의 겉넓이를 구할 수 있다.
[6수03-17],B,직육면체와 정육면체의 겉넓이를 구하는 방법을 이해하고 이를 이용하여 직육면체와 정육면체의 겉넓이를 구할 수 있다.
[6수03-17],C,안내된 절차에 따라 직육면체와 정육면체의 겉넓이를 구할 수 있다.
[6수03-18],A,1cm³와 1m³ 사이의 관계를 설명하고 실생활 상황에서 적절한 부피 단위를 사용할 수 있다.
[6수03-18],B,부피 단위 1cm³ 1m³를 알고 1cm³와 1m³ 사이의 관계를 설명할 수 있다.
[6수03-18],C,부피 단위 1cm³ 1m³를 알고 1m³가 몇 cm³인지를 안다.
[6수03-19],A,직육면체와 정육면체의 부피를 구하는 방법을 추론하고 그 추론 과정을 설명하며 이를 이용하여 부피를 구할 수 있다.
[6수03-19],B,직육면체와 정육면체의 부피를 구하는 방법을 이해하고 이를 이용하여 직육면체와 정육면체의 부피를 구할 수 있다.
[6수03-19],C,안내된 절차에 따라 직육면체와 정육면체의 부피를 구할 수 있다.
