성취기준,수준,성취수준
[4수01-12],A,분모가 10인 진분수를 소수 한 자리 수로 나타내고 읽고 쓰며 실생활에서 소수가 활용되는 사례를 찾아 소수의 필요성을 말할 수 있다.
[4수01-12],B,분모가 10인 진분수를 소수 한 자리 수로 나타내고 읽고 쓰며 실생활에서 소수가 활용되는 사례를 찾을 수 있다.
[4수01-12],C,1/10=0.1임을 알고 소수 한 자리 수를 읽고 쓸 수 있다.
[4수01-13],A,소수 두 자리 수와 소수 세 자리 수에서 자릿값의 원리를 설명하고 소수를 읽고 쓸 수 있다.
[4수01-13],B,소수 두 자리 수와 소수 세 자리 수에서 자릿값의 원리를 이해하고 소수를 읽고 쓸 수 있다.
[4수01-13],C,안내된 절차에 따라 분모가 100 1000인 분수를 소수로 나타내고 그 소수를 읽을 수 있다.
[4수01-14],A,여러 가지 소수의 크기를 비교하고 그 방법을 설명할 수 있다.
[4수01-14],B,여러 가지 소수의 크기를 비교할 수 있다.
[4수01-14],C,구체물이나 그림을 이용하여 소수의 크기를 비교할 수 있다.
[4수01-15],A,분모가 같은 분수의 덧셈과 뺄셈을 여러 가지 방법으로 계산하고 그 계산 원리를 설명할 수 있다.
[4수01-15],B,분모가 같은 분수의 덧셈과 뺄셈의 계산 원리를 이해하고 그 계산을 할 수 있다.
[4수01-15],C,안내된 절차에 따라 분모가 같은 간단한 분수의 덧셈과 뺄셈을 할 수 있다.
[4수01-16],A,소수 두 자리 수의 범위에서 소수의 덧셈과 뺄셈을 계산하고 그 계산 원리를 설명할 수 있다.
[4수01-16],B,소수 두 자리 수의 범위에서 소수의 덧셈과 뺄셈의 계산 원리를 이해하고 그 계산을 할 수 있다.
[4수01-16],C,안내된 절차에 따라 소수 두 자리 수의 범위에서 간단한 소수의 덧셈과 뺄셈을 할 수 있다.
