explanation_id,standard_id,explanation_type,explanation_content
13,68,성취기준 해설,"초등학교에서는 무게와 질량의 개념을 엄밀하게 구분하지 않으며, 무게를 비교하고 측정하는 데에 g, kg의 단위를 사용하게 한다."
14,76,성취기준 해설,"여러 가지 문제를 해결하기 위해 자료를 수집, 정리하고 그래프로 나타내어 해석하는 일련의 과정을 직접 경험하게 한다. 자료의 크기를 비교할 때는 막대그래프로, 시간에 따른 변화의 경향을 알아볼 때는 꺾은선그래프로 나타내는 것이 편리함을 알고, 자료의 특성에 따라 목적에 맞는 적절한 그래프를 선택하게 한다."
15,0,용어와 기호,"'수와 연산' 영역에서는 용어와 기호로 '나눗셈, 몫, 나머지, 나누어떨어진다, 분수, 분모, 분자, 단위분수, 진분수, 가분수, 대분수, 자연수, 소수, 소수점(.), ÷'를 다룬다."
16,0,용어와 기호,"'도형과 측정' 영역에서는 용어와 기호로 '직선, 선분, 반직선, 각, (각의) 꼭짓점, (각의) 변, 직각, 예각, 둔각, 수직, 수선, 평행, 평행선, 원의 중심, 반지름, 지름, 이등변삼각형, 정삼각형, 직각삼각형, 예각삼각형, 둔각삼각형, 직사각형, 정사각형, 사다리꼴, 평행사변형, 마름모, 다각형, 정다각형, 대각선, 초, 도(°), mm, km, L, mL, g, kg, t'을 다룬다."
17,0,용어와 기호,"'자료와 가능성' 영역에서는 용어와 기호로 '그림그래프, 막대그래프, 꺾은선그래프'를 다룬다."
18,30,적용시 고려사항,"뉴스, 광고 등 여러 가지 매체를 활용해 자료를 조사하는 활동을 통하여 실생활에서 다섯 자리 이상의 큰 수가 쓰이는 경우를 찾아보게 한다. 조사한 결과를 바탕으로 큰 수와 관련하여 이야기하는 활동을 통하여 큰 수에 대한 필요성을 인식하고 양감을 기르게 한다."
19,34,적용시 고려사항,"한 가지 상황을 곱셈식과 나눗셈식으로 나타내는 활동을 통하여 곱셈과 나눗셈의 관계를 이해하게 한다."
20,35,적용시 고려사항,"나눗셈에 대한 검산에서는 나눗셈식을 보고 곱셈식으로 나타내는 것보다 검산의 목적과 필요성을 이해하는 데 초점을 둔다."
21,37,적용시 고려사항,"자연수의 덧셈, 뺄셈, 곱셈, 나눗셈을 하기 전에 계산 결과를 어림하기, 어림한 값을 이용하여 계산 결과가 타당한지 확인하기, 어림셈이 필요한 실생활 상황의 문제를 해결하기 등을 다룰 수 있다."
22,32,적용시 고려사항,"친근한 실생활 상황을 이용하여 자연수의 덧셈, 뺄셈, 곱셈, 나눗셈에 관련된 문제를 만들어 해결하게 하고, 사칙계산의 유용성을 인식하게 한다."
23,41,적용시 고려사항,"실생활에서 소수를 활용한 사례를 통해 소수의 필요성을 인식하게 한다."
24,45,적용시 고려사항,"소수의 덧셈과 뺄셈은 계산 원리를 이해할 수 있는 수준에서 간단히 다룬다."
25,0,적용시 고려사항,"계산 기능을 숙달하는 것이 목적이 아닌 경우에는 계산기를 사용하게 할 수 있다."
26,0,적용시 고려사항,"'수와 연산' 영역의 문제 상황에 적합한 문제해결 전략을 지도하고, 문제해결 과정을 설명하게 하여 문제해결 역량을 기르게 한다."
27,0,적용시 고려사항,"'수와 연산' 영역에서 문제해결 과정을 설명할 때 다른 친구의 의견을 존중하고 경청하는 태도로 참여하게 한다."
28,46,적용시 고려사항,"규칙을 식으로 나타낼 때 혼합 계산식, 일반항을 나타낸 식 등을 이용해야 하는 복잡한 문제는 다루지 않는다."
29,47,적용시 고려사항,"계산식의 배열에서 계산 결과의 규칙을 찾는 활동을 할 때 필요에 따라 계산기를 사용하게 할 수 있다."
30,46,적용시 고려사항,"자신이 추측한 규칙을 배열에 적용해 보는 등 다양한 방법으로 규칙이 옳은지 스스로 검토하게 할 수 있다."
31,48,적용시 고려사항,"동치 관계는 두 자리 수의 범위에서 다룬다."
32,48,적용시 고려사항,"등호가 사용된 식이 옳은지 판단할 때는 수 감각이나 학생이 직관적으로 이해하고 있는 연산의 성질을 이용하여 두 양이 서로 같은지 비교하게 할 수 있다."
33,0,적용시 고려사항,"'변화와 관계' 영역의 문제 상황에 적합한 문제해결 전략을 지도하고, 문제해결 과정을 설명하게 하여 문제해결 역량을 기르게 한다."
34,0,적용시 고려사항,"'변화와 관계' 영역에서 문제해결 과정을 설명할 때 다른 친구의 의견을 존중하고 경청하는 태도로 참여하게 한다."
35,49,적용시 고려사항,"직선, 선분, 반직선에 대한 평가에서는 정확한 정의나 표현보다 직선, 선분, 반직선을 서로 구별할 수 있는지에 중점을 둔다."
36,52,적용시 고려사항,"평면도형의 이동에서 돌리고 뒤집기나 뒤집고 돌리기 등 복잡한 변화를 지양한다."
37,52,적용시 고려사항,"평면도형의 이동을 활용하여 모양의 변화나 무늬를 설명하게 할 때 설명 방법이 다양할 수 있음에 유의하여 다른 친구들의 설명을 비판적으로 검토하게 한다."
38,52,적용시 고려사항,"평면도형의 이동, 원 그리기 등을 이용하여 여러 가지 모양이나 무늬 만들기 활동을 통해 수학의 아름다움을 느끼게 할 수 있다."
39,56,적용시 고려사항,"삼각형의 성질을 탐구하는 활동에서 구체적인 관찰, 실험, 측정 등 귀납적 추론을 통해 성질을 이해하게 한다."
40,58,적용시 고려사항,"여러 가지 사각형의 성질은 구체적인 조작 활동을 통하여 간단한 것만 다루고, 여러 가지 사각형 사이의 관계는 다루지 않는다."
41,61,적용시 고려사항,"시각과 시간의 의미는 구체적인 상황 속에서 구별하여 사용할 수 있는 정도로 이해하게 한다."
42,0,적용시 고려사항,"실제로 재거나 어림하는 측정 활동을 통하여 시간, 길이, 들이, 무게, 각도에 대한 양감을 기르게 한다."
43,65,적용시 고려사항,"들이, 무게의 표준 단위를 도입하기 전에 표준 단위의 필요성을 알게 한다."
44,0,적용시 고려사항,"시간, 길이, 들이, 무게의 단위를 지도할 때 단위 사이의 관계를 이해하는 데 중점을 두고, 1km와 1cm의 관계, 1t과 1g의 관계 등의 지나친 단위 환산은 다루지 않는다."
45,0,적용시 고려사항,"길이, 들이, 무게, 각도를 측정할 때 측정도구의 눈금에 일치하지 않는 측정값을 '약'으로 표현하게 한다."
46,0,적용시 고려사항,"'도형과 측정' 영역의 문제 상황에 적합한 문제해결 전략을 지도하고, 문제해결 과정을 설명하게 하여 문제해결 역량을 기르게 한다."
47,0,적용시 고려사항,"'도형과 측정' 영역에서 문제해결 과정을 설명할 때 다른 친구의 의견을 존중하고 경청하는 태도로 참여하게 한다."
48,74,적용시 고려사항,"문제 상황에 맞게 간단한 설문조사, 실험과 관찰, 공공 자료의 활용 등을 통해 자료를 직접 수집하게 한다."
49,74,적용시 고려사항,"그림그래프를 그릴 때 항목의 이름과 수량의 단위를 명확히 인식하고, 자료의 개수에 따라 그림이 나타내는 단위를 적절히 선택하게 한다."
50,74,적용시 고려사항,"막대그래프와 꺾은선그래프를 그릴 때는 가로축과 세로축이 각각 무엇을 나타내는지 확인하게 하고 눈금 한 칸이 나타내는 크기를 적절히 선택하게 한다."
51,74,적용시 고려사항,"막대그래프와 꺾은선그래프를 그릴 때 공학 도구를 사용하게 할 수 있다."
52,74,적용시 고려사항,"여러 가지 사회, 환경 문제를 탐구하는 데 그림그래프, 막대그래프, 꺾은선그래프로부터 얻은 정보를 활용하게 할 수 있다."
53,74,적용시 고려사항,"자료 수집의 목적과 수집한 자료의 특성에 맞는 그래프로 적절히 표현되었는지를 비판적으로 판단하게 할 수 있다."
54,0,적용시 고려사항,"'자료와 가능성' 영역의 문제 상황에 적합한 문제해결 전략을 지도하고, 문제해결 과정을 설명하게 하여 문제해결 역량을 기르게 한다."
55,0,적용시 고려사항,"'자료와 가능성' 영역에서 문제해결 과정을 설명할 때 다른 친구의 의견을 존중하고 경청하는 태도로 참여하게 한다."
