explanation_id,standard_id,explanation_type,explanation_content
12,121,성취기준 해설,"제비뽑기, 동전 던지기, 주사위 던지기, 회전판 돌리기 등과 같은 간단한 실험 결과를 나타낸 표나 그래프를 보고 사건이 일어날 가능성을 비교하고 대략적으로 예상하게 한다."
13,0,용어와 기호,"'수와 연산' 영역에서는 용어와 기호로 '이상, 이하, 초과, 미만, 올림, 버림, 반올림, 약수, 공약수, 최대공약수, 배수, 공배수, 최소공배수, 약분, 통분, 기약분수'를 다룬다."
14,0,용어와 기호,"'변화와 관계' 영역에서는 용어와 기호로 '비, 기준량, 비교하는 양, 비율, 백분율, 비례식, 비례배분, :, %'를 다룬다."
15,0,용어와 기호,"'도형과 측정' 영역에서는 용어와 기호로 '합동, 대칭, 대응점, 대응변, 대응각, 선대칭도형, 점대칭도형, 대칭축, 대칭의 중심, 직육면체, 정육면체, 면, 모서리, 밑면, 옆면, 겨냥도, 전개도, 각기둥, 각뿔, 원기둥, 원뿔, 구, 모선, 가로, 세로, 밑변, 높이, 원주, 원주율, cm², m², km², cm³, m³'를 다룬다."
16,0,용어와 기호,"'자료와 가능성' 영역에서는 용어와 기호로 '평균, 띠그래프, 원그래프, 가능성'을 다룬다."
17,77,적용시 고려사항,"자연수의 혼합 계산은 계산 순서에 중점을 두고, 지나치게 복잡한 혼합 계산은 다루지 않는다."
18,78,적용시 고려사항,"수의 범위와 올림, 버림, 반올림은 측정 상황과 같이 수나 양의 어림이 필요한 여러 가지 실생활 사례를 통하여 그 의미를 알게 한다."
19,80,적용시 고려사항,"약수와 배수는 실생활에서 활용되는 경우를 찾아 자연수 범위에서 다룬다."
20,80,적용시 고려사항,"약수와 배수를 학습하는 과정에서 약수와 배수의 관계를 이해하게 한다."
21,80,적용시 고려사항,"최대공약수와 최소공배수는 두 수에 대하여 약수와 배수를 각각 나열하여 공통된 약수와 배수를 찾는 방법으로 그 의미를 이해하게 하고, 평가에서 소인수의 곱으로 나타내어 구하는 방법은 다루지 않는다."
22,82,적용시 고려사항,"구체물이나 그림 등을 이용하여 크기가 같은 분수를 만든 후 분모는 분모끼리, 분자는 분자끼리 비교하는 활동을 통해 크기가 같은 분수를 만드는 방법을 이해하게 한다."
23,83,적용시 고려사항,"분모가 다른 분수의 크기를 비교할 때 수 감각을 이용하여 추론하고 토론하는 활동을 하게 한다."
24,84,적용시 고려사항,"분수의 사칙계산에서 기약분수로 나타낼 것을 요구하지 않을 경우, 계산 결과를 기약분수가 아닌 분수로 나타내는 것도 허용한다."
25,84,적용시 고려사항,"분수를 통분할 때는 공통분모로 최소공배수뿐만 아니라 분모의 곱과 같은 공배수도 이용하게 할 수 있다."
26,85,적용시 고려사항,"분수의 곱셈과 나눗셈, 소수의 곱셈과 나눗셈은 계산 원리를 탐구하여 이해하는 수준에서 다룬다."
27,89,적용시 고려사항,"소수의 곱셈과 나눗셈에서 복잡한 계산은 계산기를 사용하게 할 수 있다."
28,89,적용시 고려사항,"소수의 곱셈과 나눗셈에서 계산 결과를 어림할 필요가 있는 상황, 정확한 계산 대신에 어림셈으로 비교가 가능한 상황 등 어림셈이 필요한 여러 가지 실생활 상황을 제시하여 어림셈의 필요성과 유용성을 알게 한다."
29,0,적용시 고려사항,"'수와 연산' 영역의 문제 상황에서 문제해결 전략 비교하기, 주어진 문제에서 필요 없는 정보나 부족한 정보 찾기, 조건을 바꾸어 새로운 문제 만들기, 문제해결 과정의 타당성 검토하기 등을 통하여 문제해결 역량을 기르게 한다."
30,0,적용시 고려사항,"'수와 연산' 영역에서 자신의 문제해결 과정을 논리적으로 설명하고 다른 친구의 문제해결 과정과 비교함으로써 비판적으로 사고하는 태도를 기르게 한다."
31,92,적용시 고려사항,"대응 관계를 탐구할 때는 두 양의 변화를 함께 고려하게 하고, 한 양의 변화에만 초점을 두지 않는다."
32,92,적용시 고려사항,"두 양 사이의 대응 관계를 식으로 나타내는 방법을 지도하는 활동에서는 덧셈식, 뺄셈식, 곱셈식, 나눗셈식 중 하나로 표현되는 간단한 경우만 다룬다."
33,93,적용시 고려사항,"비와 비율을 다룰 때는 기준량과 비교하는 양을 명확하게 인식하게 한다."
34,93,적용시 고려사항,"비와 비율을 탐구할 때는 실생활 및 타 교과에서 비와 비율이 적용되는 간단한 사례를 활용하며 수학의 유용성을 인식하게 한다."
35,94,적용시 고려사항,"동일한 비율을 분수, 소수, 백분율로 다양하게 나타낼 수 있음을 알게 한다."
36,92,적용시 고려사항,"대응 관계를 기호를 사용하여 식으로 나타내고 두 양의 관계를 비로 나타내 보는 경험을 통해 수학적 표현의 편리함을 인식하게 할 수 있다."
37,0,적용시 고려사항,"'변화와 관계' 영역에서는 기후변화, 생태계, 과학 기술의 발전 등 학생의 삶과 관련된 다양한 문제 상황을 활용할 수 있다."
38,0,적용시 고려사항,"'변화와 관계' 영역의 문제 상황에서 문제해결 전략 비교하기, 주어진 문제에서 필요 없는 정보나 부족한 정보 찾기, 조건을 바꾸어 새로운 문제 만들기, 문제해결 과정의 타당성 검토하기 등을 통하여 문제해결 역량을 기르게 한다."
39,0,적용시 고려사항,"'변화와 관계' 영역에서 자신의 문제해결 과정을 논리적으로 설명하고 다른 친구의 문제해결 과정과 비교함으로써 비판적으로 사고하는 태도를 기르게 한다."
40,98,적용시 고려사항,"선대칭도형과 점대칭도형 그리기를 평가할 때 모눈종이, 점판, 공학 도구 등을 이용하여 쉽게 그릴 수 있게 한다."
41,97,적용시 고려사항,"무늬 찾기, 종이 겹쳐 오리기, 도장 찍기, 데칼코마니 등 구체적인 조작 활동을 통하여 도형의 합동의 의미를 알게 한다."
42,97,적용시 고려사항,"실생활이나 자연 환경 등에서 도형의 합동, 선대칭도형, 점대칭도형의 예를 찾고 수학의 아름다움을 느낄 수 있게 한다."
43,100,적용시 고려사항,"입체도형의 전개도에 대한 평가는 전개도가 될 수 있는 것과 될 수 없는 것을 구별하는 데 중점을 둔다."
44,102,적용시 고려사항,"각기둥의 전개도는 간단한 형태만 다루고, 각뿔과 원뿔의 전개도는 다루지 않는다."
45,103,적용시 고려사항,"한 직선을 중심으로 직사각형, 직각삼각형, 반원을 돌리는 활동을 통하여 원기둥, 원뿔, 구를 만들어 보게 한다."
46,99,적용시 고려사항,"실생활에서 접할 수 있는 여러 가지 물건, 건축물 등에서 직육면체, 정육면체, 각기둥, 각뿔, 원기둥, 원뿔, 구를 찾고 수학에 대한 흥미와 관심을 갖게 한다."
47,99,적용시 고려사항,"입체도형의 구성 요소와 성질, 전개도, 쌓기나무로 만든 입체도형을 탐구할 때는 여러 가지 모형과 공학 도구를 이용하게 할 수 있다."
48,106,적용시 고려사항,"쌓기나무로 만든 입체도형의 위, 앞, 옆에서 본 모양에 대한 평가를 할 때는 간단한 모양을 이용한다."
49,110,적용시 고려사항,"삼각형의 넓이를 구할 때는 높이가 삼각형의 외부에 있는 것도 다룬다."
50,108,적용시 고려사항,"넓이 단위 사이의 관계 중 1cm², 1km² 사이의 단위 환산은 다루지 않는다."
51,110,적용시 고려사항,"도형의 넓이는 1cm²인 정사각형의 몇 배인지를 구하는 것임을 이해하게 하고, 도형의 변형을 이용하여 넓이를 구하는 여러 가지 방법을 추론하게 한다."
52,111,적용시 고려사항,"원주율을 지도할 때는 원주와 지름의 관계를 이해하고 원주율에 대한 양감을 기르게 한다."
53,111,적용시 고려사항,"원주율, 원주, 원의 넓이, 입체도형의 겉넓이와 부피 등을 구할 때 복잡한 계산은 계산기를 사용하게 한다."
54,113,적용시 고려사항,"겉넓이와 부피를 구하는 방법에 대하여 다양한 추론을 하게 하고, 자신의 추론 과정을 다른 사람에게 설명하게 할 수 있다."
55,113,적용시 고려사항,"도형의 넓이와 부피를 구하는 방법의 편리함을 인식하게 한다."
56,0,적용시 고려사항,"'도형과 측정' 영역의 문제 상황에서 문제해결 전략 비교하기, 주어진 문제에서 필요 없는 정보나 부족한 정보 찾기, 조건을 바꾸어 문제 만들기, 문제해결 과정의 타당성 검토하기 등을 통하여 문제해결 역량을 기르게 한다."
57,0,적용시 고려사항,"'도형과 측정' 영역에서 자신의 문제해결 과정을 논리적으로 설명하고 다른 친구의 문제해결 과정과 비교함으로써 비판적으로 사고하는 태도를 기르게 한다."
58,118,적용시 고려사항,"자료를 수집할 때, 간단한 설문조사, 실험이나 관찰, 공공 자료 활용과 같은 방법 중 탐구 목적에 적합한 것을 결정하게 한다."
59,116,적용시 고려사항,"평균을 구하는 방법뿐만 아니라 그 의미를 직관적으로 파악하게 한다."
60,116,적용시 고려사항,"복잡한 자료의 평균이나 백분율을 구할 때 계산기를 사용하게 할 수 있다."
61,117,적용시 고려사항,"조사 자료에서 전체에 대한 각 부분의 비율을 비교해야 하는 문제 상황을 제시하여 띠그래프와 원그래프의 필요성을 인식하게 한다."
62,117,적용시 고려사항,"원그래프를 그릴 때는 눈금이 표시된 원을 사용하게 한다."
63,117,적용시 고려사항,"띠그래프와 원그래프를 그릴 때 공학 도구를 사용하게 할 수 있다."
64,117,적용시 고려사항,"여러 가지 사회, 환경 문제를 탐구하는 데 그림그래프, 막대그래프, 꺾은선그래프, 띠그래프, 원그래프로부터 얻은 정보를 활용하게 할 수 있다."
65,118,적용시 고려사항,"자료 수집의 목적과 수집한 자료의 특성에 맞는 그래프로 적절히 표현되었는지, 또는 정보를 왜곡하는 오류가 포함되어 있지는 않은지 등을 비판적으로 판단하게 할 수 있다."
66,0,적용시 고려사항,"'자료와 가능성' 영역의 문제 상황에서 문제해결 전략 비교하기, 주어진 문제에서 필요 없는 정보나 부족한 정보 찾기, 조건을 바꾸어 새로운 문제 만들기, 문제해결 과정의 타당성 검토하기 등을 통하여 문제해결 역량을 기르게 한다."
67,0,적용시 고려사항,"'자료와 가능성' 영역에서 자신의 문제해결 과정을 논리적으로 설명하고 다른 친구의 문제해결 과정과 비교함으로써 비판적으로 사고하는 태도를 기르게 한다."
