standard_id,standard_code,level_id,domain_id,element_name,standard_content
17,2수03-04,1,3,평면도형과 그 구성 요소,"삼각형, 사각형, 원을 직관적으로 이해하고, 그 모양을 그릴 수 있다."
18,2수03-05,1,3,평면도형과 그 구성 요소,"삼각형, 사각형에서 각각의 공통점을 찾아 말할 수 있다."
19,2수03-06,1,3,양의 비교,"구체물의 길이, 들이, 무게, 넓이를 비교하여 각각 '길다, 짧다', '많다, 적다', '무겁다, 가볍다', '넓다, 좁다' 등을 구별하여 말할 수 있다."
20,2수03-07,1,3,시각과 시간,"시계를 보고 시각을 '몇 시 몇 분'까지 읽을 수 있다."
21,2수03-08,1,3,시각과 시간,"1시간과 1분의 관계를 이해하고, 시간을 '시간', '분'으로 표현할 수 있다."
22,2수03-09,1,3,시각과 시간,"실생활 문제 상황과 연결하여 1분, 1시간, 1일, 1주일, 1개월, 1년 사이의 관계를 이해한다."
23,2수03-10,1,3,길이,"길이 단위 1cm와 1m를 알고, 이를 이용하여 주변 사물의 길이를 측정할 수 있다."
24,2수03-11,1,3,길이,"1m와 1cm의 관계를 이해하고, 길이를 '몇 m 몇 cm'와 '몇 cm'로 표현할 수 있다."
25,2수03-12,1,3,길이,"여러 가지 물건의 길이를 어림하고, 길이에 대한 양감을 기른다."
26,2수03-13,1,3,길이,"실생활 문제 상황과 연결하여 길이의 덧셈과 뺄셈을 할 수 있다."
27,2수04-01,1,4,자료의 정리,"여러 가지 사물을 정해진 기준 또는 자신이 정한 기준으로 분류하여 개수를 세어 보고, 기준에 따른 결과를 말할 수 있다."
28,2수04-02,1,4,자료의 정리,"자료를 분류하여 표로 나타내고, 자료를 표로 나타내면 편리한 점을 말할 수 있다."
29,2수04-03,1,4,자료의 정리,"자료를 분류하여 ○, ×, / 등을 이용한 그래프로 나타내고, 자료를 그래프로 나타내면 편리한 점을 말할 수 있다."
30,4수01-01,2,1,다섯 자리 이상의 수,"큰 수의 필요성을 인식하면서 10000 이상의 큰 수에 대한 자릿값과 위치적 기수법을 이해하고, 수를 읽고 쓸 수 있다."
31,4수01-02,2,1,다섯 자리 이상의 수,"다섯 자리 이상의 수의 범위에서 수의 계열을 이해하고, 수의 크기를 비교하며 그 방법을 설명할 수 있다."
32,4수01-03,2,1,세 자리 수의 덧셈과 뺄셈,"세 자리 수의 덧셈과 뺄셈의 계산 원리를 이해하고 그 계산을 할 수 있다."
33,4수01-04,2,1,세 자리 수 범위의 곱셈,"곱하는 수가 한 자리 수 또는 두 자리 수인 곱셈의 계산 원리를 이해하고 그 계산을 할 수 있다."
34,4수01-05,2,1,세 자리 수 범위의 나눗셈,"나눗셈이 이루어지는 실생활 상황과 연결하여 나눗셈의 의미를 알고, 곱셈과 나눗셈의 관계를 이해한다."
35,4수01-06,2,1,세 자리 수 범위의 나눗셈,"나누는 수가 한 자리 수인 나눗셈의 계산 원리를 이해하고 그 계산을 할 수 있으며, 나눗셈에서 몫과 나머지의 의미를 안다."
36,4수01-07,2,1,세 자리 수 범위의 나눗셈,"나누는 수가 두 자리 수인 나눗셈의 계산 원리를 이해하고 그 계산을 할 수 있다."
37,4수01-08,2,1,자연수의 어림셈,"자연수의 덧셈, 뺄셈, 곱셈, 나눗셈과 관련한 여러 가지 상황에서 어림셈을 할 수 있다."
38,4수01-09,2,1,분수,"양의 등분할을 통하여 분수의 필요성을 인식하고, 분수를 이해하고 읽고 쓸 수 있다."
39,4수01-10,2,1,분수,"단위분수, 진분수, 가분수, 대분수를 알고, 그 관계를 이해한다."
40,4수01-11,2,1,분수,"분모가 같은 분수끼리, 단위분수끼리 크기를 비교하고 그 방법을 설명할 수 있다."
41,4수01-12,2,1,소수,"분모가 10인 진분수와 연결하여 소수 한 자리 수를 이해하고 읽고 쓸 수 있다."
42,4수01-13,2,1,소수,"자릿값의 원리를 바탕으로 소수 두 자리 수와 소수 세 자리 수를 이해하고 읽고 쓸 수 있다."
43,4수01-14,2,1,소수,"소수의 크기를 비교하고 그 방법을 설명할 수 있다."
44,4수01-15,2,1,분수의 덧셈과 뺄셈,"분모가 같은 분수의 덧셈과 뺄셈의 계산 원리를 이해하고 그 계산을 할 수 있다."
45,4수01-16,2,1,소수의 덧셈과 뺄셈,"소수 두 자리 수의 범위에서 소수의 덧셈과 뺄셈의 계산 원리를 이해하고 그 계산을 할 수 있다."
46,4수02-01,2,2,규칙을 수나 식으로 나타내기,"다양한 변화 규칙을 찾아 설명하고, 그 규칙을 수나 식으로 나타낼 수 있다."
47,4수02-02,2,2,규칙을 수나 식으로 나타내기,"계산식의 배열에서 규칙을 찾고, 계산 결과를 추측할 수 있다."
48,4수02-03,2,2,등호와 동치 관계,"등호를 사용하여 크기가 같은 두 양의 관계를 식으로 나타낼 수 있다."
49,4수03-01,2,3,도형의 기초,"직선, 선분, 반직선을 이해하고 구별할 수 있다."
50,4수03-02,2,3,도형의 기초,"각과 직각을 이해하고, 직각과 비교하는 활동을 통하여 예각과 둔각을 구별할 수 있다."
51,4수03-03,2,3,도형의 기초,"직선의 수직 관계와 평행 관계를 이해한다."
52,4수03-04,2,3,평면도형의 이동,"구체물이나 평면도형의 밀기, 뒤집기, 돌리기 활동을 통하여 그 변화를 이해한다."
53,4수03-05,2,3,평면도형의 이동,"평면에서 점의 이동에 대해 위치와 방향을 이용하여 설명할 수 있다."
54,4수03-06,2,3,원의 구성 요소,"원의 중심, 반지름, 지름을 이해하고, 그 성질을 안다."
55,4수03-07,2,3,원의 구성 요소,"컴퍼스를 이용하여 여러 가지 크기의 원을 그릴 수 있다."
56,4수03-08,2,3,여러 가지 삼각형,"여러 가지 모양의 삼각형에 대한 분류 활동을 통하여 이등변삼각형, 정삼각형을 이해하고, 그 성질을 탐구하고 설명할 수 있다."
57,4수03-09,2,3,여러 가지 삼각형,"여러 가지 모양의 삼각형에 대한 분류 활동을 통하여 직각삼각형, 예각삼각형, 둔각삼각형을 이해한다."
58,4수03-10,2,3,여러 가지 사각형,"여러 가지 모양의 사각형에 대한 분류 활동을 통하여 직사각형, 정사각형, 사다리꼴, 평행사변형, 마름모를 이해하고, 그 성질을 탐구하고 설명할 수 있다."
59,4수03-11,2,3,다각형,"다각형과 정다각형을 이해한다."
60,4수03-12,2,3,다각형,"주어진 도형을 이용하여 여러 가지 모양을 만들거나 채우고 설명할 수 있다."
61,4수03-13,2,3,시각과 시간,"1분과 1초의 관계를 이해하고, 초 단위까지 시각을 읽을 수 있다."
62,4수03-14,2,3,시각과 시간,"실생활 문제 상황과 연결하여 초 단위까지의 시간의 덧셈과 뺄셈을 할 수 있다."
63,4수03-15,2,3,길이,"길이 단위 1mm와 1km를 알고, 이를 이용하여 길이를 측정하고 어림하며 수학의 유용성을 인식할 수 있다."
64,4수03-16,2,3,길이,"1cm와 1mm, 1km와 1m의 관계를 이해하고, 길이를 '몇 cm 몇 mm'와 '몇 mm', '몇 km 몇 m'와 '몇 m'로 다양하게 표현할 수 있다."
65,4수03-17,2,3,들이,"들이 단위 1L와 1mL를 알고, 이를 이용하여 들이를 측정하고 어림하며 수학의 유용성을 인식할 수 있다."
66,4수03-18,2,3,들이,"1L와 1mL의 관계를 이해하고, 들이를 '몇 L 몇 mL'와 '몇 mL'로 표현할 수 있다."
67,4수03-19,2,3,들이,"실생활 문제 상황과 연결하여 들이의 덧셈과 뺄셈을 할 수 있다."
68,4수03-20,2,3,무게,"실생활에서 무게를 나타낼 때 사용하는 단위 1g과 1kg을 알고, 이를 이용하여 무게를 측정하고 어림하며 수학의 유용성을 인식할 수 있다."
69,4수03-21,2,3,무게,"1kg과 1g의 관계를 이해하고, 무게를 '몇 kg 몇 g'과 '몇 g'으로 표현할 수 있다."
70,4수03-22,2,3,무게,"실생활에서 무게를 나타낼 때 사용하는 단위 1t을 알고, 1t과 1kg의 관계를 이해한다."
71,4수03-23,2,3,무게,"실생활 문제 상황과 연결하여 무게의 덧셈과 뺄셈을 할 수 있다."
72,4수03-24,2,3,각도,"각의 크기의 단위인 1도(°)를 알고, 각도기를 이용하여 각의 크기를 측정하고 어림할 수 있다."
73,4수03-25,2,3,각도,"여러 가지 방법으로 삼각형과 사각형의 내각의 크기의 합을 추론하고, 자신의 추론 과정을 설명할 수 있다."
74,4수04-01,2,4,자료의 수집과 정리,"자료를 수집하여 그림그래프나 막대그래프로 나타내고 해석할 수 있다."
75,4수04-02,2,4,자료의 수집과 정리,"자료를 수집하여 꺾은선그래프로 나타내고 해석할 수 있다."
76,4수04-03,2,4,자료의 수집과 정리,"탐구 문제를 해결하기 위해 자료를 수집, 정리하여 막대그래프나 꺾은선그래프로 나타내고 해석할 수 있다."
77,6수01-01,3,1,자연수의 혼합 계산,"덧셈, 뺄셈, 곱셈, 나눗셈의 혼합 계산에서 계산하는 순서를 알고, 혼합 계산을 할 수 있다."
78,6수01-02,3,1,수의 범위와 올림 버림 반올림,"실생활과 연결하여 이상, 이하, 초과, 미만의 의미와 쓰임을 알고, 이를 활용하여 수의 범위를 나타낼 수 있다."
79,6수01-03,3,1,수의 범위와 올림 버림 반올림,"어림값을 구하기 위한 방법으로 올림, 버림, 반올림의 의미와 필요성을 알고, 이를 실생활에 활용함으로써 수학의 유용성을 인식할 수 있다."
80,6수01-04,3,1,약수와 배수,"약수, 공약수, 최대공약수를 이해하고 구할 수 있다."
81,6수01-05,3,1,약수와 배수,"배수, 공배수, 최소공배수를 이해하고 구할 수 있다."
82,6수01-06,3,1,분수의 덧셈과 뺄셈,"크기가 같은 분수를 만드는 방법을 이해하고, 분수를 약분, 통분할 수 있다."
83,6수01-07,3,1,분수의 덧셈과 뺄셈,"분모가 다른 분수의 크기를 비교하고 그 방법을 설명할 수 있다."
84,6수01-08,3,1,분수의 덧셈과 뺄셈,"분모가 다른 분수의 덧셈과 뺄셈의 계산 원리를 탐구하고 그 계산을 할 수 있다."
85,6수01-09,3,1,분수의 곱셈과 나눗셈,"분수의 곱셈의 계산 원리를 탐구하고 그 계산을 할 수 있다."
86,6수01-10,3,1,분수의 곱셈과 나눗셈,"'(자연수)÷(자연수)'에서 나눗셈의 몫을 분수로 나타낼 수 있다."
87,6수01-11,3,1,분수의 곱셈과 나눗셈,"분수의 나눗셈의 계산 원리를 탐구하고 그 계산을 할 수 있다."
88,6수01-12,3,1,분수와 소수의 관계,"분수와 소수의 관계를 이해하고 크기를 비교하며 그 방법을 설명할 수 있다."
89,6수01-13,3,1,소수의 곱셈과 나눗셈,"소수의 곱셈의 계산 원리를 탐구하고 그 계산을 할 수 있다."
90,6수01-14,3,1,소수의 곱셈과 나눗셈,"'(자연수)÷(자연수)'에서 나눗셈의 몫을 소수로 나타낼 수 있다."
91,6수01-15,3,1,소수의 곱셈과 나눗셈,"소수의 나눗셈의 계산 원리를 탐구하고 그 계산을 할 수 있다."
92,6수02-01,3,2,대응 관계,"한 양이 변할 때 다른 양이 그에 종속하여 변하는 대응 관계를 나타낸 표에서 규칙을 찾아 설명하고, □, △ 등을 사용하여 식으로 나타낼 수 있다."
93,6수02-02,3,2,비와 비율,"두 양의 크기를 비교하는 상황을 통해 비의 개념을 이해하고, 두 양의 관계를 비로 나타낼 수 있다."
94,6수02-03,3,2,비와 비율,"비율을 이해하고, 비율을 분수, 소수, 백분율로 나타낼 수 있다."
95,6수02-04,3,2,비례식과 비례배분,"비례식을 알고, 그 성질을 이해하며, 이를 활용하여 간단한 비례식을 풀 수 있다."
96,6수02-05,3,2,비례식과 비례배분,"비례배분을 알고, 주어진 양을 비례배분 할 수 있다."
97,6수03-01,3,3,합동과 대칭,"도형의 합동을 이해하고, 합동인 도형의 성질을 탐구하고 설명할 수 있다."
98,6수03-02,3,3,합동과 대칭,"실생활과 연결하여 선대칭도형과 점대칭도형을 이해하고 그릴 수 있다."
99,6수03-03,3,3,직육면체와 정육면체,"직육면체와 정육면체를 이해하고, 구성 요소와 성질을 탐구하고 설명할 수 있다."
100,6수03-04,3,3,직육면체와 정육면체,"직육면체와 정육면체의 겨냥도와 전개도를 그릴 수 있다."
101,6수03-05,3,3,각기둥과 각뿔,"각기둥과 각뿔을 이해하고, 구성 요소와 성질을 탐구하고 설명할 수 있다."
102,6수03-06,3,3,각기둥과 각뿔,"각기둥의 전개도를 그릴 수 있다."
103,6수03-07,3,3,원기둥 원뿔 구,"원기둥, 원뿔, 구를 이해하고, 구성 요소와 성질을 탐구하고 설명할 수 있다."
104,6수03-08,3,3,원기둥 원뿔 구,"원기둥의 전개도를 그릴 수 있다."
105,6수03-09,3,3,입체도형의 공간 감각,"쌓기나무로 만든 입체도형을 보고 사용된 쌓기나무의 개수를 구할 수 있다."
106,6수03-10,3,3,입체도형의 공간 감각,"쌓기나무로 만든 입체도형의 위, 앞, 옆에서 본 모양을 표현할 수 있고, 이러한 표현을 보고 입체도형의 모양을 추측할 수 있다."
107,6수03-11,3,3,다각형의 둘레와 넓이,"평면도형의 둘레를 이해하고, 기본적인 평면도형의 둘레를 구할 수 있다."
108,6수03-12,3,3,다각형의 둘레와 넓이,"넓이 단위 1cm², 1m², 1km²를 알며, 그 관계를 이해한다."
109,6수03-13,3,3,다각형의 둘레와 넓이,"직사각형과 정사각형의 넓이를 구하는 방법을 이해하고, 이를 구할 수 있다."
110,6수03-14,3,3,다각형의 둘레와 넓이,"평행사변형, 삼각형, 사다리꼴, 마름모의 넓이를 구하는 방법을 다양하게 추론하고, 이와 관련된 문제를 해결할 수 있다."
111,6수03-15,3,3,원주율과 원의 넓이,"여러 가지 원 모양 물체의 원주와 지름을 측정하는 활동을 통하여, 원주율이 일정한 값임을 알고 그 근삿값을 사용할 수 있다."
112,6수03-16,3,3,원주율과 원의 넓이,"원주와 원의 넓이를 구하는 방법을 이해하고, 이를 구할 수 있다."
113,6수03-17,3,3,입체도형의 겉넓이와 부피,"직육면체와 정육면체의 겉넓이를 구하는 방법을 이해하고, 이를 구할 수 있다."
114,6수03-18,3,3,입체도형의 겉넓이와 부피,"부피 단위 1cm³, 1m³를 알며, 그 관계를 이해한다."
115,6수03-19,3,3,입체도형의 겉넓이와 부피,"직육면체와 정육면체의 부피를 구하는 방법을 이해하고, 이를 구할 수 있다."
116,6수04-01,3,4,자료의 수집과 정리,"평균의 의미를 알고, 자료를 수집하여 평균을 구하고 해석할 수 있다."
117,6수04-02,3,4,자료의 수집과 정리,"자료를 수집하여 띠그래프나 원그래프로 나타내고 해석할 수 있다."
118,6수04-03,3,4,자료의 수집과 정리,"탐구 문제를 설정하고, 그에 맞는 자료를 수집, 정리하여 적절한 그래프로 나타내고 해석할 수 있다."
119,6수04-04,3,4,가능성,"사건이 일어날 가능성을 말로 표현하고 비교할 수 있다."
120,6수04-05,3,4,가능성,"사건이 일어날 가능성을 수로 나타낼 수 있다."
121,6수04-06,3,4,가능성,"자료를 이용하여 가능성을 예상하고, 가능성에 근거하여 적절한 판단을 내릴 수 있다."
122,9수01-01,4,1,소인수분해,"소인수분해의 뜻을 알고, 자연수를 소인수분해 할 수 있다."
123,9수01-02,4,1,소인수분해,"소인수분해를 이용하여 최대공약수와 최소공배수를 구할 수 있다."
124,9수01-03,4,1,정수와 유리수,"다양한 상황을 이용하여 음수의 필요성을 인식하고, 양수와 음수, 정수와 유리수의 개념을 이해한다."
125,9수01-04,4,1,정수와 유리수,"정수와 유리수의 대소 관계를 판단할 수 있다."
126,9수01-05,4,1,정수와 유리수,"정수와 유리수의 사칙계산의 원리를 이해하고, 그 계산을 할 수 있다."
127,9수01-06,4,1,유리수와 순환소수,"순환소수의 뜻을 알고, 유리수와 순환소수의 관계를 설명할 수 있다."
128,9수01-07,4,1,제곱근과 실수,"제곱근의 뜻과 성질을 알고, 제곱근의 대소 관계를 판단할 수 있다."
129,9수01-08,4,1,제곱근과 실수,"무리수의 개념을 이해하고, 무리수의 유용성을 인식할 수 있다."
130,9수01-09,4,1,제곱근과 실수,"실수의 대소 관계를 판단하고 설명할 수 있다."
131,9수01-10,4,1,제곱근과 실수,"근호를 포함한 식의 사칙계산의 원리를 이해하고, 그 계산을 할 수 있다."
132,9수02-01,4,2,문자의 사용과 식,"다양한 상황을 문자를 사용한 식으로 나타내어 그 유용성을 인식하고, 식의 값을 구할 수 있다."
133,9수02-02,4,2,문자의 사용과 식,"일차식의 덧셈과 뺄셈의 원리를 이해하고, 그 계산을 할 수 있다."
134,9수02-03,4,2,일차방정식,"방정식과 그 해의 뜻을 알고, 등식의 성질을 설명할 수 있다."
135,9수02-04,4,2,일차방정식,"일차방정식을 풀 수 있고, 이를 활용하여 문제를 해결할 수 있다."
136,9수02-05,4,2,좌표평면과 그래프,"순서쌍과 좌표를 이해하고, 그 편리함을 인식할 수 있다."
137,9수02-06,4,2,좌표평면과 그래프,"다양한 상황을 그래프로 나타내고, 주어진 그래프를 해석할 수 있다."
138,9수02-07,4,2,좌표평면과 그래프,"정비례, 반비례 관계를 이해하고, 그 관계를 표, 식, 그래프로 나타낼 수 있다."
139,9수02-08,4,2,식의 계산,"지수법칙을 이해하고, 이를 이용하여 식을 간단히 할 수 있다."
140,9수02-09,4,2,식의 계산,"다항식의 덧셈과 뺄셈의 원리를 이해하고, 그 계산을 할 수 있다."
141,9수02-10,4,2,식의 계산,"'(단항식)×(다항식)', '(다항식)÷(단항식)'과 같은 곱셈과 나눗셈의 원리를 이해하고, 그 계산을 할 수 있다."
142,9수02-11,4,2,일차부등식,"부등식과 그 해의 뜻을 알고, 부등식의 성질을 설명할 수 있다."
143,9수02-12,4,2,일차부등식,"일차부등식을 풀 수 있고, 이를 활용하여 문제를 해결할 수 있다."
144,9수02-13,4,2,연립일차방정식,"미지수가 2개인 연립일차방정식을 풀 수 있고, 이를 활용하여 문제를 해결할 수 있다."
145,9수02-14,4,2,일차함수와 그 그래프,"함수의 개념을 이해하고, 함숫값을 구할 수 있다."
146,9수02-15,4,2,일차함수와 그 그래프,"일차함수의 개념을 이해하고, 그 그래프를 그릴 수 있다."
147,9수02-16,4,2,일차함수와 그 그래프,"일차함수의 그래프의 성질을 이해하고, 이를 활용하여 문제를 해결할 수 있다."
148,9수02-17,4,2,일차함수와 일차방정식의 관계,"일차함수와 미지수가 2개인 일차방정식의 관계를 설명할 수 있다."
149,9수02-18,4,2,일차함수와 일차방정식의 관계,"두 일차함수의 그래프와 연립일차방정식의 관계를 설명할 수 있다."
150,9수02-19,4,2,다항식의 곱셈과 인수분해,"다항식의 곱셈과 인수분해를 할 수 있다."
151,9수02-20,4,2,이차방정식,"이차방정식을 풀 수 있고, 이를 활용하여 문제를 해결할 수 있다."
152,9수02-21,4,2,이차함수와 그 그래프,"이차함수의 개념을 이해한다."
153,9수02-22,4,2,이차함수와 그 그래프,"이차함수의 그래프를 그릴 수 있고, 그 성질을 설명할 수 있다."
154,9수03-01,4,3,기본 도형,"점, 선, 면, 각을 이해하고, 실생활 상황과 연결하여 점, 직선, 평면의 위치 관계를 설명할 수 있다."
155,9수03-02,4,3,기본 도형,"평행선에서 동위각과 엇각의 성질을 이해하고 설명할 수 있다."
156,9수03-03,4,3,작도와 합동,"삼각형을 작도하고, 그 과정을 설명할 수 있다."
157,9수03-04,4,3,작도와 합동,"삼각형의 합동 조건을 이해하고, 이를 이용하여 두 삼각형이 합동인지 판별할 수 있다."
158,9수03-05,4,3,평면도형의 성질,"다각형의 성질을 이해하고 설명할 수 있다."
159,9수03-06,4,3,평면도형의 성질,"부채꼴의 중심각과 호의 관계를 이해하고, 이를 이용하여 부채꼴의 호의 길이와 넓이를 구할 수 있다."
160,9수03-07,4,3,입체도형의 성질,"구체적인 모형이나 공학 도구를 이용하여 다면체와 회전체의 성질을 탐구하고, 이를 설명할 수 있다."
161,9수03-08,4,3,입체도형의 성질,"입체도형의 겉넓이와 부피를 구할 수 있다."
162,9수03-09,4,3,삼각형과 사각형의 성질,"이등변삼각형의 성질을 이해하고 정당화할 수 있다."
163,9수03-10,4,3,삼각형과 사각형의 성질,"삼각형의 외심과 내심의 성질을 이해하고 정당화할 수 있다."
164,9수03-11,4,3,삼각형과 사각형의 성질,"사각형의 성질을 이해하고 정당화할 수 있다."
165,9수03-12,4,3,도형의 닮음,"도형의 닮음의 뜻과 닮은 도형의 성질을 이해하고, 닮음비를 구할 수 있다."
166,9수03-13,4,3,도형의 닮음,"삼각형의 닮음 조건을 이해하고, 이를 이용하여 두 삼각형이 닮음인지 판별할 수 있다."
167,9수03-14,4,3,도형의 닮음,"평행선 사이의 선분의 길이의 비를 구할 수 있다."
168,9수03-15,4,3,피타고라스 정리,"피타고라스 정리를 이해하고 정당화할 수 있다."
169,9수03-16,4,3,삼각비,"삼각비의 뜻을 알고, 간단한 삼각비의 값을 구할 수 있다."
170,9수03-17,4,3,삼각비,"삼각비를 활용하여 여러 가지 문제를 해결할 수 있다."
171,9수03-18,4,3,원의 성질,"원의 현에 관한 성질과 접선에 관한 성질을 이해하고 정당화할 수 있다."
172,9수03-19,4,3,원의 성질,"원주각의 성질을 이해하고 정당화할 수 있다."
173,9수04-01,4,4,대푯값,"중앙값, 최빈값의 뜻을 알고, 자료의 특성에 따라 적절한 대푯값을 선택하여 구할 수 있다."
174,9수04-02,4,4,도수분포표와 상대도수,"자료를 줄기와 잎 그림, 도수분포표, 히스토그램, 도수분포다각형으로 나타내고 해석할 수 있다."
175,9수04-03,4,4,도수분포표와 상대도수,"상대도수를 구하고, 상대도수의 분포를 표나 그래프로 나타내고 해석할 수 있다."
176,9수04-04,4,4,도수분포표와 상대도수,"통계적 탐구 문제를 설정하고, 공학 도구를 이용하여 자료를 수집하여 분석하고, 그 결과를 해석할 수 있다."
177,9수04-05,4,4,경우의 수와 확률,"경우의 수를 구할 수 있다."
178,9수04-06,4,4,경우의 수와 확률,"확률의 개념과 그 기본 성질을 이해하고, 확률을 구할 수 있다."
179,9수04-07,4,4,산포도,"분산과 표준편차를 구하고 자료의 분포를 설명할 수 있다."
180,9수04-08,4,4,상자그림과 산점도,"공학 도구를 이용하여 자료를 상자그림으로 나타내고 분포를 비교할 수 있다."
181,9수04-09,4,4,상자그림과 산점도,"자료를 산점도로 나타내고 상관관계를 말할 수 있다."
