element_id,domain_id,level_id,category_id,element_name,element_description,element_order
182,3,3,2,측정 단위 관계,측정 단위 사이의 관계 탐구하기,8
183,3,3,2,측정 단위 사용,측정 단위를 사용하여 양을 표현하기,9
184,3,3,2,측정과 실생활 문제,실생활 문제 상황에서 길이 들이 무게 시간의 덧셈과 뺄셈하기,10
185,3,3,2,둘레와 넓이 부피,도형의 둘레 넓이 부피 구하는 방법 탐구하기,11
186,3,3,2,측정과 실생활 연결,측정을 실생활 및 타 교과와 연결하여 문제해결하기,12
187,4,3,2,적절한 대푯값 선택,적절한 대푯값을 선택하여 구하기,1
188,4,3,2,자료의 표 그래프,자료를 표 그래프로 나타내고 해석하기,2
189,4,3,2,통계적 탐구 문제,통계적 탐구 문제 설정하기,3
190,4,3,2,공학 도구 활용,공학 도구를 이용하여 자료를 수집하고 분석하기,4
191,4,3,2,확률의 기본 성질,확률의 기본 성질 탐구하기,5
192,4,3,2,자료의 분포 비교,자료의 분포를 비교하고 설명하기,6
193,4,3,2,자료의 상관관계,자료의 상관관계 설명하기,7
194,1,3,3,자연수 분수 소수의 필요성,자연수 분수 소수의 필요성 인식,1
195,1,3,3,사칙계산과 어림의 유용성,사칙계산 어림의 유용성 인식,2
196,1,3,3,분수 표현의 편리함,분수 표현의 편리함 인식,3
197,1,3,3,비판적 사고 태도,수와 연산 관련 문제해결에서 비판적으로 사고하는 태도,4
198,2,3,3,문자의 유용성,문자의 유용성 인식,1
199,2,3,3,순서쌍과 좌표 그래프의 유용성,순서쌍과 좌표 그래프 등 수학적 표현의 유용성과 편리함 인식,2
200,2,3,3,방정식 부등식 함수의 필요성,방정식 부등식 함수의 필요성 인식,3
201,2,3,3,수학적 모델링,실생활 사회 및 자연 현상과 관련된 문제를 수학적 모델링을 통해 해결하려는 도전적인 태도,4
202,2,3,3,체계적 사고,체계적으로 사고하여 합리적으로 의사 결정하는 태도,5
203,2,3,3,논리적 설명,타당한 근거에 따라 논리적으로 설명하는 태도,6
204,3,3,3,평면도형과 입체도형 흥미,평면도형 입체도형에 대한 흥미와 관심,1
205,3,3,3,합동과 대칭의 아름다움,합동인 도형 선대칭도형 점대칭도형의 아름다움 인식,2
206,3,3,3,표준 단위의 필요성,표준 단위의 필요성 인식,3
207,3,3,3,넓이와 부피 방법의 편리함,넓이와 부피를 구하는 방법의 편리함 인식,4
208,3,3,3,도형과 측정 비판적 사고,도형과 측정 관련 문제해결에서 비판적으로 사고하는 태도,5
209,4,3,3,표와 그래프의 편리함,표와 그래프의 편리함 인식,1
210,4,3,3,평균의 유용성,평균의 유용성 인식,2
211,4,3,3,통계적 문제해결의 가치,자료를 이용한 통계적 문제해결 과정의 가치 인식,3
212,4,3,3,가능성에 근거한 판단,가능성에 근거하여 판단하는 태도,4
213,4,3,3,자료와 가능성 비판적 사고,자료와 가능성 관련 문제해결에서 비판적으로 사고하는 태도,5
