element_id,domain_id,level_id,category_id,element_name,element_description,element_order
252,2,4,2,상황이나 관계를 표 식 그래프,상황이나 관계를 표 식 그래프로 나타내기,7
253,2,4,2,주어진 그래프 해석,주어진 그래프 해석하기,8
254,2,4,2,일차함수와 이차함수 그래프 성질,일차함수의 그래프와 이차함수의 그래프의 성질 설명하기,9
255,2,4,2,일차함수와 일차방정식 관계,일차함수의 그래프와 미지수가 2개인 일차방정식의 해 사이의 관계 설명하기,10
256,3,4,2,점 직선 평면의 위치 관계,점 직선 평면의 위치 관계를 다양한 상황과 연결하기,1
257,3,4,2,도형의 성질 설명,도형의 성질 설명하기,2
258,3,4,2,삼각형의 작도,삼각형의 작도 과정 설명하기,3
259,3,4,2,삼각형의 합동과 닮음,삼각형의 합동과 닮음 판별하기,4
260,3,4,2,도형의 길이 넓이 겉넓이 부피,도형의 길이 넓이 겉넓이 부피 구하기,5
261,3,4,2,구체적 모형이나 공학 도구,구체적 모형이나 공학 도구 이용하기,6
262,3,4,2,도형의 성질 정당화,도형의 성질을 정당화하기,7
263,3,4,2,닮음비,닮음비 구하기,8
264,3,4,2,간단한 삼각비,간단한 삼각비의 값 구하기,9
265,3,4,2,삼각비 활용 문제해결,삼각비를 활용하여 문제해결하기,10
266,4,4,2,적절한 대푯값 선택,적절한 대푯값을 선택하여 구하기,1
267,4,4,2,자료의 표 그래프,자료를 표 그래프로 나타내고 해석하기,2
268,4,4,2,통계적 탐구 문제,통계적 탐구 문제 설정하기,3
269,4,4,2,공학 도구 활용,공학 도구를 이용하여 자료를 수집하고 분석하기,4
270,4,4,2,확률의 기본 성질,확률의 기본 성질 탐구하기,5
271,4,4,2,자료의 분포 비교,자료의 분포를 비교하고 설명하기,6
272,4,4,2,자료의 상관관계,자료의 상관관계 설명하기,7
273,1,4,3,음수 무리수의 필요성,음수 무리수의 필요성 인식,1
274,1,4,3,실생활 사칙계산의 유용성,실생활에서 사칙계산의 유용성 인식,2
275,1,4,3,수 체계의 논리적 아름다움,수 체계의 논리적 아름다움에 대한 관심,3
276,1,4,3,정수와 유리수 계산 반성,정수와 유리수의 사칙계산의 원리를 이용하는 문제의 풀이 과정과 결과를 반성하는 태도,4
277,2,4,3,문자의 유용성,문자의 유용성 인식,1
278,2,4,3,순서쌍과 좌표 그래프의 유용성,순서쌍과 좌표 그래프 등 수학적 표현의 유용성과 편리함 인식,2
279,2,4,3,방정식 부등식 함수의 필요성,방정식 부등식 함수의 필요성 인식,3
280,2,4,3,수학적 모델링,실생활 사회 및 자연 현상과 관련된 문제를 수학적 모델링을 통해 해결하려는 도전적인 태도,4
281,2,4,3,체계적 사고,체계적으로 사고하여 합리적으로 의사 결정하는 태도,5
282,2,4,3,논리적 설명,타당한 근거에 따라 논리적으로 설명하는 태도,6
283,3,4,3,증명의 필요성,증명의 필요성 인식,1
284,3,4,3,피타고라스 정리 삼각비의 유용성,피타고라스 정리 삼각비의 유용성 인식,2
285,3,4,3,피타고라스 정리 삼각비 흥미,피타고라스 정리 삼각비에 대한 흥미와 관심,3
286,3,4,3,도형 성질 건축물 문화유산,도형의 성질을 이용한 건축물 문화유산 예술 작품에 대한 흥미와 관심,4
287,3,4,3,다양한 정당화 방법,다양한 정당화 방법을 이용하여 체계적으로 사고하고 타인을 합리적으로 설득하려는 태도,5
288,3,4,3,수학적 근거 비판적 사고,정당화를 통해 수학적 근거를 바탕으로 비판적으로 사고하는 태도,6
289,4,4,3,대푯값 상대도수 상자그림의 유용성,대푯값 상대도수 상자그림의 유용성 인식,1
290,4,4,3,공학 도구의 편리함과 유용성,공학 도구를 이용한 자료 수집과 분석의 편리함과 유용성 인식,2
291,4,4,3,확률과 통계 흥미,자신의 삶과 연계된 확률과 통계에 대한 흥미와 관심,3
292,4,4,3,통계적 문제해결 주도적 참여,통계적 문제해결 과정에 주도적으로 참여하는 태도,4
293,4,4,3,합리적 의사 결정,체계적으로 사고하여 합리적으로 의사 결정하는 태도,5
294,4,4,3,확률 및 통계적 근거 비판적 사고,확률 및 통계적 근거를 바탕으로 비판적으로 사고하는 태도,6
